periodo,inpc
1988/01/01,4.63698010645697
1988/01/02,4.7995115679826
1988/02/01,5.04170434399378
1988/02/02,5.18186463725885
1988/03/01,5.3323751509969
1988/03/02,5.41472154445054
1988/04/01,5.52664266068123
1988/04/02,5.55124042925206
1988/05/01,5.61551343857053
1988/05/02,5.6767040207502
1988/06/01,5.73970986758444
1988/06/02,5.78287420863258
1988/07/01,5.84476520114715
1988/07/02,5.87015093134428
1988/08/01,5.90897086331811
1988/08/02,5.91371728305788
1988/09/01,5.94498241923869
1988/09/02,5.94529843277691
1988/10/01,5.97352673065689
1988/10/02,6.00744897083734
1988/11/01,6.0572584031312
1988/11/02,6.08405168871251
1988/12/01,6.17614580469605
1988/12/02,6.21848954665395
1989/01/01,6.32110225097887
1989/01/02,6.3769465057508
1989/02/01,6.42562657818529
1989/02/02,6.44474021672276
1989/03/01,6.48704510455707
1989/03/02,6.52284011349465
1989/04/01,6.58967542275152
1989/04/02,6.6147751865985
1989/05/01,6.66999673928346
1989/05/02,6.71620258112642
1989/06/01,6.76335542747611
1989/06/02,6.785414208583
1989/07/01,6.82902511302512
1989/07/02,6.85527133254628
1989/08/01,6.89718612497897
1989/08/02,6.91747937470927
1989/09/01,6.95319253095964
1989/09/02,6.99359304868231
1989/10/01,7.06030298863363
1989/10/02,7.09274669989708
1989/11/01,7.15136669325906
1989/11/02,7.20034671952792
1989/12/01,7.32782399073863
1989/12/02,7.50823508383692
1990/01/01,7.72941088730843
1990/01/02,7.82266337422997
1990/02/01,7.91466890281192
1990/02/02,7.98957240034858
1990/03/01,8.06669058293016
1990/03/02,8.11793243724758
1990/04/01,8.18086627443957
1990/04/02,8.25007790189615
1990/05/01,8.32046085166551
1990/05/02,8.39721743187015
1990/06/01,8.51061552285294
1990/06/02,8.57526153175822
1990/07/01,8.66300450395306
1990/07/02,8.73446656224833
1990/08/01,8.82487440926738
1990/08/02,8.86902771727493
1990/09/01,8.94629250941613
1990/09/02,8.99983193757663
1990/10/01,9.07756142503606
1990/10/02,9.12655854711972
1990/11/01,9.23476106469364
1990/11/02,9.45268503704775
1990/12/01,9.57993695434146
1990/12/02,9.69649259043587
1991/01/01,9.8453753754222
1991/01/02,9.92238424840285
1991/02/01,10.0223849195121
1991/02/02,10.0904656329437
1991/03/01,10.1735901449802
1991/03/02,10.226091909012
1991/04/01,10.2882237970927
1991/04/02,10.3251512742202
1991/05/01,10.3770386250443
1991/05/02,10.4378458465375
1991/06/01,10.5041283911293
1991/06/02,10.5291665064337
1991/07/01,10.5887226251472
1991/07/02,10.6304462552918
1991/08/01,10.6703914026857
1991/08/02,10.6964542307433
1991/09/01,10.7673381396794
1991/09/02,10.8123654064404
1991/10/01,10.8761649135067
1991/10/02,10.9545202113836
1991/11/01,11.1136205947683
1991/11/02,11.2591277334959
1991/12/01,11.3936862982473
1991/12/02,11.5056747616255
1992/01/01,11.6167421232466
1992/01/02,11.6988191281102
1992/02/01,11.7704443737244
1992/02/02,11.8213603714586
1992/03/01,11.8897716039688
1992/03/02,11.9421283126059
1992/04/01,12.0030531325808
1992/04/02,12.0412923249204
1992/05/01,12.0845918783183
1992/05/02,12.1182866923621
1992/06/01,12.1654027568078
1992/06/02,12.2012894614776
1992/07/01,12.2436860450425
1992/07/02,12.2768602138297
1992/08/01,12.3179554432824
1992/08/02,12.3532318791837
1992/09/01,12.4234614846783
1992/09/02,12.4623363304803
1992/10/01,12.5123566111515
1992/10/02,12.5526333137335
1992/11/01,12.6069192591216
1992/11/02,12.6663230696707
1992/12/01,12.7790751460913
1992/12/02,12.8540345935656
1993/01/01,12.9507217850141
1993/01/02,13.003920851051
1993/02/01,13.0649461736913
1993/02/02,13.1017472454031
1993/03/01,13.1418260509819
1993/03/02,13.1773641046495
1993/04/01,13.2167181513094
1993/04/02,13.25424398194
1993/05/01,13.2920625136351
1993/05/02,13.3302141546833
1993/06/01,13.3681673806734
1993/06/02,13.4034282749256
1993/07/01,13.4358978889379
1993/07/02,13.4643520587896
1993/08/01,13.5054799257054
1993/08/02,13.5387447541146
1993/09/01,13.6072471643015
1993/09/02,13.6372741490767
1993/10/01,13.6668892801415
1993/10/02,13.6890584069596
1993/11/01,13.7247026618983
1993/11/02,13.7519052109149
1993/12/01,13.8060859911413
1993/12/02,13.8800264244674
1994/01/01,13.9344128725224
1994/01/02,13.9663343843643
1994/02/01,14.0058117281094
1994/02/02,14.0384346863964
1994/03/01,14.0788336499542
1994/03/02,14.1096097422321
1994/04/01,14.1487057975111
1994/04/02,14.1777982111004
1994/05/01,14.2157674967952
1994/05/02,14.2475967948502
1994/06/01,14.2862535395058
1994/06/02,14.319537017894
1994/07/01,14.3542710502299
1994/07/02,14.3783849554473
1994/08/01,14.4169054516422
1994/08/02,14.4496708750496
1994/09/01,14.51986266253
1994/09/02,14.552013672729
1994/10/01,14.5962084251352
1994/10/02,14.6282832812519
1994/11/01,14.673319354947
1994/11/02,14.7074053005018
1994/12/01,14.7721735703828
1994/12/02,14.8662383675153
1995/01/01,15.2129352665883
1995/01/02,15.5410179321263
1995/02/01,15.8787162161736
1995/02/02,16.1786695323322
1995/03/01,16.6819879217043
1995/03/02,17.2653898403705
1995/04/01,18.1293698188939
1995/04/02,18.5227533148334
1995/05/01,18.9269004391204
1995/05/02,19.2571361411608
1995/06/01,19.5751726845003
1995/06/02,19.8210193022943
1995/07/01,20.0213708496807
1995/07/02,20.177805840185
1995/08/01,20.3593566542423
1995/08/02,20.5064625106422
1995/09/01,20.7626427711506
1995/09/02,20.948785624562
1995/10/01,21.17855855045
1995/10/02,21.3911092565366
1995/11/01,21.6853214873926
1995/11/02,21.9338951466089
1995/12/01,22.2809225647605
1995/12/02,22.7595556342696
1996/01/01,23.1942726649536
1996/01/02,23.4652351063
1996/02/01,23.7511232297148
1996/02/02,23.9972573680239
1996/03/01,24.2553031445204
1996/03/02,24.5444923142767
1996/04/01,24.9806443572586
1996/04/02,25.2063987306554
1996/05/01,25.4454997545375
1996/05/02,25.6561849446368
1996/06/01,25.8772027413396
1996/06/02,26.0566005188939
